NU_ANO_CENSO,SG_UF_IES,NO_MUNICIPIO_IES,TP_ORGANIZACAO_ACADEMICA,TP_REDE,CO_IES,NO_IES,SG_UF,NO_MUNICIPIO,NO_CURSO,CO_CURSO,NO_CINE_ROTULO,NO_CINE_AREA_ESPECIFICA,TP_GRAU_ACADEMICO,IN_GRATUITO,TP_MODALIDADE_ENSINO,QT_VG_TOTAL,QT_INSCRITO_TOTAL,CI,Ano CI,CI-EaD,Ano CI-EaD,IGC,Ano IGC,Código IES,CC,Ano CC,CPC,Ano CPC,ENADE,Ano ENADE,IDD,Ano IDD,Vagas Autorizadas,Situação
2023,MG,Uberaba,1,2,143,UNIVERSIDADE DE UBERABA,MG,Ituiutaba,Engenharia De Produção,109991,Engenharia de produção,Produção e processamento,1.0,0,2,0,0,3,2017.0,4,2014.0,3,2022.0,143.0,5,2024.0,SC,2019.0,SC,2019.0,SC,2019.0,300.0,Em Atividade
2023,MG,Uberaba,1,2,143,UNIVERSIDADE DE UBERABA,SP,Guaratinguetá,Análise E Desenvolvimento De Sistemas,1517424,Sistemas de informação,Computação e Tecnologias da Informação e Comunicação (TIC),3.0,0,2,0,0,3,2017.0,4,2014.0,3,2022.0,143.0,-,,-,,-,,-,,300.0,Em Atividade
2023,MG,Uberaba,1,2,143,UNIVERSIDADE DE UBERABA,SP,Atibaia,Gestão Do Agronegócio,99872,Gestão do agronegócio,Negócios e administração,3.0,0,2,0,0,3,2017.0,4,2014.0,3,2022.0,143.0,4,2013.0,3,2019.0,3,2019.0,3,2019.0,280.0,Em Atividade
2023,SP,São Paulo,1,1,55,UNIVERSIDADE DE SÃO PAULO,SP,São Carlos,Matemática Aplicada E Computação Científica,21436,Matemática aplicada e computacional,Matemática e estatística,1.0,1,1,31,99,-,,5,2019.0,-,,55.0,-,,-,,-,,-,,20.0,Em Atividade
2023,MG,Uberaba,1,2,143,UNIVERSIDADE DE UBERABA,MG,Itaúna,Administração,88798,Administração,Negócios e administração,1.0,0,2,0,0,3,2017.0,4,2014.0,3,2022.0,143.0,4,2013.0,3,2018.0,3,2018.0,3,2018.0,1260.0,Em Atividade
2023,SP,Batatais,2,2,135,Claretiano - Centro Universitário,SP,Araçatuba,Gestão Do Agronegócio,123474,Gestão do agronegócio,Negócios e administração,3.0,0,2,0,0,5,2018.0,5,2023.0,3,2022.0,135.0,-,,3,2019.0,4,2019.0,1,2019.0,259.0,Em Atividade
2023,MG,Uberaba,1,2,143,UNIVERSIDADE DE UBERABA,MG,Uberlândia,Letras - Português E Espanhol,88807,Letras português espanhol formação de professor,Educação,2.0,0,2,0,0,3,2017.0,4,2014.0,3,2022.0,143.0,5,2017.0,3,2017.0,3,2017.0,3,2017.0,200.0,Em Atividade
2023,SP,Araras,2,2,125,CENTRO UNIVERSITÁRIO DE ARARAS -,SP,Araras,Gastronomia,1438121,Gastronomia,Serviços pessoais,3.0,0,1,0,0,5,2023.0,4,2019.0,3,2022.0,125.0,5,2022.0,-,,-,,-,,80.0,Em Atividade
2023,RJ,Rio de Janeiro,1,2,163,UNIVERSIDADE ESTÁCIO DE SÁ,GO,Goianésia,Gestão De Recursos Humanos,1116776,Gestão de pessoas,Negócios e administração,3.0,0,2,0,0,5,2024.0,5,2019.0,3,2022.0,163.0,4,2013.0,3,2018.0,3,2018.0,3,2018.0,5567.0,Em Atividade
2023,SP,Batatais,2,2,135,Claretiano - Centro Universitário,RO,Vilhena,História,108848,História formação de professor,Educação,2.0,0,2,0,0,5,2018.0,5,2023.0,3,2022.0,135.0,-,,4,2017.0,3,2017.0,3,2017.0,500.0,Em Atividade
2023,MG,Uberaba,1,2,143,UNIVERSIDADE DE UBERABA,RS,Cruz Alta,Marketing,123801,Marketing,Negócios e administração,3.0,0,2,0,0,3,2017.0,4,2014.0,3,2022.0,143.0,4,2015.0,3,2018.0,3,2018.0,3,2018.0,160.0,Em Atividade
2023,SP,São Paulo,1,1,55,UNIVERSIDADE DE SÃO PAULO,SP,São Paulo,Física Médica,1579522,Física médica,Ciências físicas,1.0,1,1,28,148,-,,5,2019.0,-,,55.0,-,,-,,-,,-,,25.0,Em Atividade
2023,RS,São Leopoldo,1,2,14,UNIVERSIDADE DO VALE DO RIO DOS SINOS,RS,São Leopoldo,Gestão Da Tecnologia Da Informação,1116731,Gestão da tecnologia da informação,Computação e Tecnologias da Informação e Comunicação (TIC),3.0,0,2,0,0,5,2023.0,5,2019.0,4,2022.0,14.0,4,2013.0,4,2017.0,5,2017.0,4,2017.0,1060.0,Em Atividade
2023,SP,Sorocaba,1,2,150,UNIVERSIDADE DE SOROCABA,SP,Sorocaba,Engenharia Agronômica,1203323,Agronomia,Agricultura,1.0,0,1,282,189,5,2019.0,4,2015.0,3,2022.0,150.0,4,2017.0,3,2019.0,2,2019.0,3,2019.0,140.0,Em Atividade
2023,SP,Bauru,2,2,137,CENTRO UNIVERSITÁRIO SAGRADO CORAÇÃO,SP,Bauru,Engenharia Mecânica,1430014,Engenharia mecânica,Engenharia e profissões correlatas,1.0,0,1,51,49,5,2024.0,5,2022.0,4,2022.0,137.0,-,,-,,-,,-,,50.0,Em Atividade
2023,MG,Uberaba,1,2,143,UNIVERSIDADE DE UBERABA,GO,Catalão,Comércio Exterior,1485625,Comércio exterior,Negócios e administração,3.0,0,2,0,0,3,2017.0,4,2014.0,3,2022.0,143.0,-,,-,,-,,-,,300.0,Em Atividade
2023,MG,Ouro Preto,1,1,6,UNIVERSIDADE FEDERAL DE OURO PRETO,MG,Bom Despacho,Administração Pública,111502,Administração pública,Negócios e administração,1.0,1,2,0,0,4,2013.0,4,2014.0,4,2022.0,6.0,-,,3,2018.0,2,2018.0,2,2018.0,780.0,Em Atividade
